cod_loc,id_provincia,id_departamento,categoria,provincia,departamento,localidad,nombre,domicilio,piso,cp,cod_area,telefono,mail,web,latitud,longitud,tipo_latitud_longitud,fuente,tipo_gestion,año_actualizacion
06049020,06,06049,Galerías de Arte,Buenos Aires,Azul,Azul,Oliva Drys espacio de arte,Prat 675,,7300,2281,632213,olivadrysarte@gmail.com,https://www.facebook.com/silvio.drys,-36.77840000,-59.85624000,localización precisa,Fondo Desarrollar 2020,Privado,2022
06203020,06,06203,Galerías de Arte,Buenos Aires,Coronel Suárez,Coronel Suárez,"Isidoro, Espacio De Arte",Av. Casey 1052,,7540,,,isidoroarte@gmail.com.ar,https://www.facebook.com/IsidoroArte,-37.45977580,-61.93132350,localización precisa,Arte On line,Privado,2022
06357110,06,06357,Galerías de Arte,Buenos Aires,General Pueyrredon,Mar del Plata,Silencio (dispositivo sonoro poético),Brandsen 3532,,7600,,,silenciodispositivosonoro@gmail.com,https://www.facebook.com/Silencio-183821545504151/,-37.98399027,-57.54800752,localización precisa,Fondo Desarrollar 2021,Privado,2022
06357110,06,06357,Galerías de Arte,Buenos Aires,General Pueyrredon,Mar del Plata,Casa Intermitente,Génova 2036,,7600,,,casaintermitente@gmail.com,https://www.facebook.com/casaintermitente/,-38.06465116,-57.5520899,localización precisa,Fondo Desarrollar 2021,Privado,2022
06371010,06,06371,Galerías de Arte,Buenos Aires,General San Martín,Villa Lynch,Centro De Edición Taller Galería ,Azcuénaga 4178,,1672,11,51627192,centrodeedicion@gmail.com,https://www.facebook.com/CentroEdicion,-34.59339850,-58.52592530,localización precisa,ArsOmnibús - relevamiento,Privado,2022
06441030,06,06441,Galerías de Arte,Buenos Aires,La Plata,City Bell,Vincent Galería,Calle 473 y 17,,1896,,,,https://www.instagram.com/vincent_galeria,-34.87644000,-58.04842000,localización precisa,Fondo Desarrollar 2020,Privado,2022
06441030,06,06441,Galerías de Arte,Buenos Aires,La Plata,La Plata,NN Galería,Calle 49  719,,1900,221,155449761,nngaleria@gmail.com,https://www.facebook.com/GaleriaNN/,-34.91650646,-57.95297793,localización precisa,Relevamiento SInCA,Privado,2022
06441030,06,06441,Galerías de Arte,Buenos Aires,La Plata,La Plata,Cósmiko Galeria Club,Calle 71 749,,1904,221,4523284,activacionmonaster@gmail.com,https://www.facebook.com/cosmikogaleriaclub,-34.93282000,-57.93213000,localización precisa,Fondo Desarrollar 2020,Privado,2022
06466020,06,06466,Galerías de Arte,Buenos Aires,Lezama,Lezama,Perro Verde Espacio De Arte,Libertad 82,,7116,2241,15569467,arteperroverde@gmail.com,Facebook: Perro Verde. Espacio de arte,-35.87637919,-57.89948347,localización precisa,AAGA - Buenos Aires Data,Privado,2022
06644010,06,06644,Galerías de Arte,Buenos Aires,Pinamar,Cariló,Cariló Arte Contemporáneo,Avellano 264,,7167,2254,570373,info@cariloarte.com.ar,www.cariloarte.com.ar,-37.16750900,-56.90256000,localización precisa,AAGA,Privado,2022
06756010,06,06756,Galerías de Arte,Buenos Aires,San Isidro,Beccar,Mchg-María Casado Home Gallery ,Juan Bautista de Lasalle 2156,,1643,11,1545416796,info@mariacasado.com.ar,https://www.facebook.com/mariacasadoHG,-34.45521630,-58.52161620,localización precisa,Relevamiento SInCA 2016,Privado,2022
06756010,06,06756,Galerías de Arte,Buenos Aires,San Isidro,San Isidro,Jacques Martínez,Roque Saenz Peña 267,4°,1642,11,35892701,info@galeriajacquesmartinez.com,https://www.galeriajacquesmartinez.com/es,-34.47274245,-58.50937340,localización precisa,Arte On line,Privado,2022
06756010,06,06756,Galerías de Arte,Buenos Aires,San Isidro,San Isidro,BR Art Gallery-Bohnenkamp y Revale ,Sebastián Elcano 406,,1640,11, 47436184,brartgallery@gmail.com,www.brartgallery.com.ar,-34.47021142,-58.49821880,localización precisa,Relevamiento SInCA,Privado,2022
06756010,06,06756,Galerías de Arte,Buenos Aires,San Isidro,San Isidro,Galería Isidro Miranda,Estados Unidos 726,,1642,11,43614034,,,-34.54029780,-58.50785790,localización precisa,Buenos Aires Data,Privado,2021
06756010,06,06756,Galerías de Arte,Buenos Aires,San Isidro,San Isidro,Espacio  De Arte  Zona,Ibañez 1378,,1642,11,31374699,espaciodeartezona@gmail.com,https://www.instagram.com/espaciodeartezona/,-34.45901587,-58.52450946,localización precisa,MAPA- Feria de Arte ,Privado,2022
06805010,06,06805,Galerías de Arte,Buenos Aires,Tigre,Tigre,Isla de Arte ,Av. de los Lagos 3115,,1648,11,53273863,contacto@isladearte.com,,-34.42262893,-58.65879536,localización precisa,MAPA- Feria de Arte,Privado,2022
06805011,07,06806,Galerías de Arte,Buenos Aires,Tigre,Tigre,Milo Espacio De Arte,Boulevard de Todos Los Santos 100,Loc.27 1º,1623,11,50034229,ventas@milolockett.com.ar,https://www.tiendamilolockett.com.ar/,-34.39104240,-58.71450016,localización precisa,AAGA - Buenos Aires Data,Privado,2022
06861010,06,06861,Galerías de Arte,Buenos Aires,Vicente Lopez,Vicente Lopez,Casa Florida,Gral. José María Paz 1530,,1602,11,47918220,casafloridacafe@gmail.com,https://www.facebook.com/lacasa.florida,-34.52725220,-58.49144110,localización precisa,ArsOmnibús - relevamiento,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Abate Galería,Pasaje Bollini 2170,,1425,,,,https://www.facebook.com/AbateGaleria/,-34.58716500,-58.40402640,localización precisa,Buenos Aires Data,Privado,2021
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Acéfala Galería,Niceto Vega 4754,,1414,,,contacto@acefalagaleria.com,http://acefalagaleria.com/,-34.59264297,-58.43100968,localización precisa,Relevamiento SInCA,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Adriana Budich,Gurruchaga 1145,,1414,11,48249800,galeria@adrianabudich.com,http://www.adrianabudich.com/,-34.59252244,-58.43436123,localización precisa,Buenos Aires Data - SInCA,Privado,2022
02000010,02,02000,Galerías de Arte,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,Ag Espacio De Arte,Av. Alvear 1580,P.B.,1014,11,48152271,info@espacioag.com,http://ag-espaciodearte.blogspot.com/,-34.58997070,-58.38563400,localización precisa,Arte On line,Privado,2020
